name      ,alt_name_1   ,ra        ,dec      ,morph_type,log_d25,log_ae,phot_mag,surf_brtness_d25,h_21cm_w20,radial_velocity_gsr,class            
          ,ESO 461-7    ,19 52 09.1,-30 49 26,.E.2...   ,1.07,      ,13.97,14.01,          ,6215,ELLIPTICAL GALAXY
          ,MCG -5-47-3  ,19 51 59.2,-30 49 09,.E.2...   ,0.72,      ,        ,12.99,          ,6237,ELLIPTICAL GALAXY
          ,ESO 468-20   ,22 40 43.6,-30 47 55,DE.3.*P   ,1.33,      ,15.81,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 3193  ,UGC 5562     ,10 18 25.0,+21 53 42,.E.2...   ,1.48,0.95,12.1,14.12,          ,1308,ELLIPTICAL GALAXY
NGC 807   ,UGC 1571     ,02 04 55.9,+28 59 17,.E.....   ,1.25,      ,13.47,                ,          ,4843,ELLIPTICAL GALAXY
          ,UGC 4323     ,08 20 20.5,+66 58 54,.E...?.   ,1.2,      ,14.08,                ,          ,4041,ELLIPTICAL GALAXY
          ,MCG -4-15-22 ,06 18 25.8,-24 51 06,.E.0.*.   ,1.02,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
          ,CGCG 108-34  ,15 59 18.0,+15 09 00,.E...*.   ,       ,      ,15.2,                ,          ,12860,ELLIPTICAL GALAXY
NGC 7034  ,UGC 11687    ,21 09 37.0,+15 09 12,.E.....   ,1.01,      ,14.81,                ,          ,9098,ELLIPTICAL GALAXY
NGC 680   ,UGC 1286     ,01 49 47.4,+21 58 14,.E+..P*   ,1.29,0.68,12.82,14.11,437,2914,ELLIPTICAL GALAXY
NGC 2783  ,UGC 4859     ,09 13 39.9,+29 59 37,.E.....   ,1.32,1.13,13.28,14.86,          ,6648,ELLIPTICAL GALAXY
          ,UGC 10078    ,15 51 06.0,+67 10 00,.E.....   ,1.15,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
Ursa Minor,UGC 9749     ,15 08 48.0,+67 11 00,.E.....   ,2.48,      ,11.9,                ,          ,-47,ELLIPTICAL GALAXY
NGC 1603  ,MCG -1-12-19 ,04 31 50.1,-05 05 45,.E?....   ,0.89,0.61,        ,13.76,          ,5038,ELLIPTICAL GALAXY
NGC 1600  ,MCG -1-12-17 ,04 31 39.9,-05 05 16,.E.3...   ,1.39,1.18,12.35,13.47,          ,4639,ELLIPTICAL GALAXY
NGC 5304  ,ESO 445-52   ,13 50 01.7,-30 34 40,.E+..P*   ,1.17,      ,13.57,                ,          ,3605,ELLIPTICAL GALAXY
          ,             ,22 27 54.7,-30 34 28,.E+3...   ,1.39,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 4936  ,ESO 443-47   ,13 04 16.4,-30 31 29,.E.0...   ,1.43,1.22,11.77,                ,          ,3065,ELLIPTICAL GALAXY
NGC 5642  ,UGC 9301     ,14 29 13.9,+30 01 36,.E.....   ,1.26,      ,13.64,                ,          ,4426,ELLIPTICAL GALAXY
NGC 72A   ,MCG 5-1-70   ,00 18 34.4,+30 02 09,.E.3.*.   ,0.52,      ,15.33,13.04,          ,6979,ELLIPTICAL GALAXY
          ,UGC 12482    ,23 17 32.9,+29 01 20,.E...*.   ,1.15,0.77,14,14.61,          ,7335,ELLIPTICAL GALAXY
NGC 4841A ,UGC 8072     ,12 57 32.3,+28 28 38,.E+..P.   ,1.23,      ,        ,14.79,          ,6828,ELLIPTICAL GALAXY
NGC 4841B ,UGC 8073     ,12 57 34.5,+28 28 56,.E...P.   ,1.25,      ,        ,14.88,          ,6245,ELLIPTICAL GALAXY
          ,UGC 12835    ,23 53 57.1,+28 29 34,.E...?.   ,0.98,      ,14.25,                ,          ,7250,ELLIPTICAL GALAXY
          ,MCG -1-23-4  ,08 50 42.2,-05 00 34,.E+....   ,1.07,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 2583  ,MCG -1-22-8  ,08 23 07.9,-05 00 08,.E...*.   ,0.89,      ,        ,13.82,          ,5741,ELLIPTICAL GALAXY
IC 171    ,UGC 1388     ,01 55 10.4,+35 16 50,.E?....   ,1.4,      ,13.23,                ,          ,5407,ELLIPTICAL GALAXY
          ,ESO 445-59   ,13 51 39.9,-30 29 19,.E?....   ,1.02,1.07,14.87,12.77,          ,4426,ELLIPTICAL GALAXY
          ,ESO 409-12   ,00 04 42.2,-30 29 00,.E?....   ,1.09,0.7,14.05,14.04,          ,8008,ELLIPTICAL GALAXY
          ,UGC 11735    ,21 22 24.0,+15 16 00,.E...?.   ,1,      ,14.49,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 67    ,MCG 5-1-64   ,00 18 15.0,+30 03 45,.E...*.   ,1.02,      ,15.21,                ,          ,7016,ELLIPTICAL GALAXY
NGC 4952  ,UGC 8175     ,13 04 58.9,+29 07 25,.E.....   ,1.25,      ,13.39,                ,          ,5853,ELLIPTICAL GALAXY
NGC 2892  ,UGC 5073     ,09 32 53.4,+67 36 59,.E+..P*   ,1.15,      ,14.05,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 1621  ,MCG -1-12-35 ,04 36 25.0,-04 59 16,.E+....   ,1.12,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
A 2236+35 ,UGC 12127    ,22 38 29.4,+35 19 47,.E.....   ,1.18,      ,14.37,                ,          ,8469,ELLIPTICAL GALAXY
NGC 4687  ,UGC 7958     ,12 47 23.7,+35 21 06,.E.1...   ,0.97,      ,14.18,                ,          ,707,ELLIPTICAL GALAXY
NGC 5291  ,ESO 445-30   ,13 47 24.2,-30 24 27,.E...P*   ,1.04,0.73,15.13,                ,686,4256,ELLIPTICAL GALAXY
          ,UGC 4170     ,08 01 23.1,+15 22 19,.E...*.   ,1.04,      ,14.22,                ,          ,4536,ELLIPTICAL GALAXY
          ,ESO 534-2    ,22 36 27.8,-24 20 32,.E?....   ,1.15,1.08,13.89,13.98,          ,                   ,ELLIPTICAL GALAXY
NGC 1700  ,MCG -1-13-38 ,04 56 56.2,-04 52 03,.E.4...   ,1.52,0.79,12,14.29,          ,3822,ELLIPTICAL GALAXY
NGC 5     ,UGC 62       ,00 07 48.9,+35 21 45,.E...*.   ,1.08,      ,14.33,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 1226  ,UGC 2575     ,03 11 05.5,+35 23 14,.E.....   ,1.32,      ,13.85,                ,          ,                   ,ELLIPTICAL GALAXY
          ,ESO 413-5    ,01 25 37.6,-30 21 55,.E?....   ,0.98,      ,14.14,                ,          ,9284,ELLIPTICAL GALAXY
NGC 5357  ,ESO 445-78   ,13 55 59.5,-30 20 28,.E.....   ,1.19,0.87,13.09,13.72,          ,4766,ELLIPTICAL GALAXY
IC 1163   ,MCG 3-41-39  ,16 01 30.0,+15 29 00,.E.....   ,0.86,      ,14.9,                ,          ,10592,ELLIPTICAL GALAXY
NGC 4308  ,UGC 7426     ,12 21 57.1,+30 04 32,.E...*.   ,0.9,      ,14.42,                ,          ,608,ELLIPTICAL GALAXY
          ,UGC 8377     ,13 19 54.0,+30 07 00,.E?....   ,1,      ,14.62,                ,          ,7053,ELLIPTICAL GALAXY
A 2335+29 ,UGCA 441     ,23 37 39.3,+30 07 47,.E?....   ,0.45,      ,15.71,12.55,141,1567,ELLIPTICAL GALAXY
A 0936-04A,MCG -1-25-9  ,09 38 53.6,-04 50 56,.E.....   ,1.13,      ,        ,14.15,          ,6455,ELLIPTICAL GALAXY
NGC 5124  ,ESO 444-27   ,13 24 50.6,-30 18 25,.E.6.*.   ,1.34,0.83,13.16,13.53,          ,4113,ELLIPTICAL GALAXY
Leo II    ,UGC 6253     ,11 13 29.3,+22 09 12,dE.0...   ,2.08,1.74,        ,17.87,          ,36,ELLIPTICAL GALAXY
          ,ESO 596-48   ,20 30 14.3,-19 07 00,.E?....   ,0.91,0.87,14.52,13.05,          ,                   ,ELLIPTICAL GALAXY
NGC 1713  ,UGC 3222     ,04 58 54.5,-00 29 28,.E+..*.   ,1.14,0.65,13.57,14.44,          ,4433,ELLIPTICAL GALAXY
A 1515-23 ,ESO 514-3    ,15 18 35.4,-24 07 18,.E+....   ,1.06,      ,14.26,14.1,          ,2278,ELLIPTICAL GALAXY
NGC 5898  ,ESO 514-2    ,15 18 13.3,-24 05 49,.E.0...   ,1.34,0.87,12.44,14.05,          ,2153,ELLIPTICAL GALAXY
NGC 3209  ,UGC 5584     ,10 20 38.5,+25 30 15,.E.....   ,1.11,      ,13.72,                ,          ,6140,ELLIPTICAL GALAXY
NGC 6697  ,UGC 11349    ,18 45 15.2,+25 30 47,.E.....   ,1.08,      ,13.7,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 599      ,00 57 42.0,-00 23 00,.E...?.   ,0.66,      ,14.85,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 11156    ,18 12 30.0,+25 31 00,.E...?.   ,1.04,      ,14.26,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 7362  ,UGC 12171    ,22 43 49.3,+08 42 17,.E...*.   ,1.04,0.92,14.46,13.61,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 741      ,01 11 06.0,+08 45 00,.E...*.   ,1,      ,14.91,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 6173  ,UGC 10421    ,16 29 44.9,+40 48 52,.E.....   ,1.28,0.95,13.6,14.2,          ,8931,ELLIPTICAL GALAXY
          ,UGC 2698     ,03 22 03.1,+40 51 51,.E.....   ,1,      ,13.9,                ,          ,6511,ELLIPTICAL GALAXY
NGC 5903  ,ESO 514-4    ,15 18 36.3,-24 04 06,.E.2...   ,1.43,1.12,12.37,14.05,          ,2479,ELLIPTICAL GALAXY
          ,ESO 507-66   ,13 01 39.5,-23 59 20,.E?....   ,0.93,      ,14.78,14.74,          ,                   ,ELLIPTICAL GALAXY
IC 3171   ,MCG 4-29-65  ,12 20 18.0,+25 32 00,.E?....   ,       ,      ,14.7,                ,          ,6946,ELLIPTICAL GALAXY
NGC 384   ,UGC 686      ,01 07 25.4,+32 17 33,.E.3...   ,1.04,0.59,14.08,13.99,          ,4550,ELLIPTICAL GALAXY
NGC 221   ,UGC 452      ,00 42 41.9,+40 51 55,CE.2...   ,1.94,1.08,9.16,13.4,          ,-28,ELLIPTICAL GALAXY
